Category,Carrer Description,Carrer Route,Course Description,course Route,# of Reviews,Comment,Author,Time w/o response
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/721856/,/@leandro-bayer,5 días
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/695218/,/@CarlosMena,22 días
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/681001/,/@gustavoenievesb,un mes
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/682870/,/@DiegoAdrianSanchez,un mes
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/728634/,/@Trazador15,8 horas
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/405656/,/@n98hernandezv,un año
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/459070/,/@j-david-vcj,8 meses
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/discusiones/1050-programacion-basica/27053-alguien-ha-usado-transmit-de-mac-para-conexiones-ssh-necesito-ayuda/,/@marckdiaz_,3 años
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/comentario/710774/,/@gustavoantoniobermúdezgómez,13 días
/categorias/desarrollo/,Desarrollo con WordPress,/desarrollo-wordpress/,Curso Gratis de Programación Básica,/cursos/programacion-basica/,10257,https://www.platzi.com/discusiones/1050-programacion-basica/48777-muy-bueno-5/,/@kusiska-hugo-laza-barboza,8 meses
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/727768/,/@33andres33,un día
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/727758/,/@33andres33,un día
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/698102/,/@valentinalugo,20 días
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/687382/,/@albertopenhos,un mes
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/672013/,/@virginiayenireereyesbarrios,un mes
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/681037/,/@ginamoya,un mes
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/400309/,/@fabian82,un año
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/607856/,/@martinrj,3 meses
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/597076/,/@marco-fonseca,4 meses
/categorias/negocios/,Negocios Online,/negocios/,Curso de Introducción a los Negocios Online,/clases/negocios-online/,455,https://www.platzi.com/comentario/596583/,/@marioalbertomendozabravo,4 meses
/categorias/produccion-audiovisual/,Producción de Video,/produccion-video/,Curso de Introducción al Lenguaje Audiovisual,/cursos/lenguaje-audiovisual/,349,https://www.platzi.com/comentario/605693/,/@david-flores48,3 meses
